AccountId,CustomerId,Accountname,Balance
1,1,Auto Loan Account,8500
2,2,Checking Account,6071.67
3,3,Checking Account,3247.66
4,4,Home Loan Account,3535.24
5,5,Credit Card Account,12895.19
6,6,Home Loan Account,18878.05
7,7,Auto Loan Account,10130.36
8,8,Money Market Account,15621.78
9,9,Personal Loan Account,6341.56
10,10,Checking Account,16855.74
11,11,Personal Loan Account,4310.13
12,12,Savings Account,11470.51
13,13,Investment Account,15073.3
14,14,Personal Loan Account,12258.9
15,15,Auto Loan Account,6619.79
16,16,Savings Account,13059.61
17,17,Money Market Account,6611.67
18,18,Money Market Account,3223.63
19,19,Checking Account,2211.81
20,20,Investment Account,10323.59
21,21,Checking Account,9678.97
22,22,Savings Account,10026.94
23,23,Money Market Account,7182.9
24,24,Savings Account,4713.85
25,25,Money Market Account,7167.39
26,26,Home Loan Account,13822.24
27,27,Personal Loan Account,17853.92
28,28,Personal Loan Account,3242.01
29,29,Home Loan Account,5150.57
30,30,Personal Loan Account,1860.77
31,31,Credit Card Account,10038.39
32,32,Savings Account,16472.38
33,33,Checking Account,3290.08
34,34,Auto Loan Account,3387.81
35,35,Investment Account,9587.4
36,36,Investment Account,10774.72
37,37,Home Loan Account,10716.03
38,38,Home Loan Account,11047.22
39,39,Checking Account,13531.14
40,40,Money Market Account,13857.02
41,41,Investment Account,10503.23
42,42,Checking Account,10480.66
43,43,Home Loan Account,9374.84
44,44,Money Market Account,7089.42
45,45,Investment Account,8549.48
46,46,Savings Account,9495.6
47,47,Personal Loan Account,15639.48
48,48,Credit Card Account,5130.3
49,49,Checking Account,9512.68
50,50,Auto Loan Account,11718.82
51,51,Personal Loan Account,9451.62
52,52,Credit Card Account,12306.67
53,53,Auto Loan Account,10029.58
54,54,Personal Loan Account,12253.93
55,55,Auto Loan Account,1837.9
56,56,Credit Card Account,5445.35
57,57,Savings Account,5316.88
58,58,Checking Account,6759.77
59,59,Money Market Account,6406.28
60,60,Money Market Account,8084.11
61,61,Credit Card Account,5223.05
62,62,Home Loan Account,7227
63,63,Checking Account,10734.42
64,64,Personal Loan Account,3544.39
65,65,Savings Account,13499.98
66,66,Home Loan Account,18219.33
67,67,Money Market Account,8712.29
68,68,Auto Loan Account,3341.83
69,69,Auto Loan Account,12452.52
70,70,Savings Account,8447.3
71,71,Credit Card Account,14416.37
72,72,Credit Card Account,4316.72
73,73,Savings Account,12185.08
74,74,Personal Loan Account,15110.78
75,75,Savings Account,7974.63
76,76,Savings Account,976.37
77,77,Investment Account,12950.32
78,78,Investment Account,11477.31
79,79,Money Market Account,8211.7
80,80,Personal Loan Account,5639.17
81,81,Personal Loan Account,13315.64
82,82,Auto Loan Account,11787.59
83,83,Personal Loan Account,5749.14
84,84,Credit Card Account,7477.15
85,85,Credit Card Account,11212.08
