CardId,CustomerId,Cardlimit,Debt,Cardtype
1,1,3305065,9766462,mastercard
2,2,6373377,9924988,mastercard
3,3,6168239,2406348,mastercard
4,4,4767247,7547652,mastercard
5,5,365005,1591505,mastercard
6,6,2593083,6044696,mastercard
7,7,8490682,9155781,mastercard
8,8,8159761,8961412,mastercard
9,9,5989021,5088956,mastercard
10,10,4032652,9351871,mastercard
11,11,1235880,519042,mastercard
12,12,130360,7613599,mastercard
13,13,9638162,2336029,mastercard
14,14,7358255,3108950,mastercard
15,15,2482529,1771563,mastercard
16,16,1170718,1536189,mastercard
17,17,7794706,9038706,mastercard
18,18,2119333,5137114,mastercard
19,19,3812238,4022284,mastercard
20,20,529919,816983,mastercard
21,21,265088,4861035,mastercard
22,22,857286,3803495,mastercard
23,23,7519415,652172,mastercard
24,24,6792015,2001425,mastercard
25,25,6997575,780556,mastercard
26,26,3617870,5406259,mastercard
27,27,3845664,8591353,mastercard
28,28,7000893,6228926,mastercard
29,29,9142219,3730736,mastercard
30,30,8329248,2373528,mastercard
31,31,245574,9905718,mastercard
32,32,4558013,118146,mastercard
33,33,6891341,252049,mastercard
34,34,471358,7998871,mastercard
35,35,2606928,4647237,mastercard
36,36,6849565,880648,mastercard
37,37,1995353,4170524,mastercard
38,38,2556217,4335540,mastercard
39,39,2179099,5004421,mastercard
40,40,9193897,5973217,mastercard
41,41,2152644,8587010,mastercard
42,42,2852449,4418747,mastercard
43,43,1764348,3162200,mastercard
44,44,7739259,5978603,mastercard
45,45,5822364,3035620,mastercard
46,46,5644344,7745561,mastercard
47,47,5279523,4453919,mastercard
48,48,476326,1436636,mastercard
49,49,3895839,6603500,mastercard
50,50,2487503,8500137,mastercard
51,51,4466150,1639373,mastercard
52,52,8714506,8017600,mastercard
53,53,6388825,9243420,mastercard
54,54,6128034,7872032,mastercard
55,55,4609718,9092820,mastercard
56,56,7326747,5495023,mastercard
57,57,9730779,1473961,mastercard
58,58,9452792,205256,mastercard
59,59,1454227,5326550,mastercard
60,60,6854023,9572665,mastercard
61,61,1857360,9902787,mastercard
62,62,2324385,2267632,mastercard
63,63,7278912,2126704,mastercard
64,64,9394482,1585276,mastercard
65,65,1045778,117986,mastercard
66,66,4120883,8669273,mastercard
67,67,6524721,545688,mastercard
68,68,7834670,9534074,mastercard
69,69,6407032,5702199,mastercard
70,70,6568321,4399886,mastercard
71,71,6925343,3439774,mastercard
72,72,6122881,8572220,mastercard
73,73,6355416,8099143,mastercard
74,74,9703115,8924951,mastercard
75,75,3766323,7987984,mastercard
76,76,697123,4873746,mastercard
77,77,3126418,9494419,mastercard
78,78,2279120,9462110,mastercard
79,79,2834588,4926664,mastercard
80,80,6176534,6359316,mastercard
